time,x,y,z,yaw,setpoint_x,setpoint_y,setpoint_z,setpoint_yaw,setpoint_speed,current_speed,mode,distance_to_target
5.088,-3.611677,-1.301096,2.624240,0.000000,-3.611677,-1.301096,2.000000,0.000000,0.000,0.000,IDLE,11.026
5.120,-3.611676,-1.301096,2.629890,0.000000,-3.611676,-1.301096,2.000000,0.000000,0.000,0.000,IDLE,11.026
5.152,-3.611676,-1.301095,2.635443,0.000000,-3.611676,-1.301095,2.000000,0.000000,0.000,0.000,IDLE,11.026
5.184,-3.611676,-1.301095,2.640900,0.000000,-3.611676,-1.301095,2.000000,0.000000,0.000,0.000,IDLE,11.026
5.216,-3.611676,-1.301095,2.646260,0.000000,-3.611676,-1.301095,2.000000,0.000000,0.000,0.000,IDLE,11.026
5.248,-3.611675,-1.301095,2.651525,-0.000000,-3.611675,-1.301095,2.000000,-0.000000,0.000,0.000,IDLE,11.026
5.280,-3.611675,-1.301095,2.656694,-0.000000,-3.611675,-1.301095,2.000000,-0.000000,0.000,0.000,IDLE,11.026
5.312,-3.611675,-1.301095,2.661769,-0.000000,-3.611675,-1.301095,2.000000,-0.000000,0.000,0.000,IDLE,11.026
5.344,-3.611674,-1.301095,2.666748,-0.000000,-3.611674,-1.301095,2.000000,-0.000000,0.000,0.000,IDLE,11.026
5.376,-3.611674,-1.301095,2.671632,-0.000000,-3.611674,-1.301095,2.000000,-0.000000,0.000,0.000,IDLE,11.026
5.408,-3.611674,-1.301095,2.676422,-0.000000,-3.611674,-1.301095,2.000000,-0.000000,0.000,0.000,IDLE,11.026
5.440,-3.611673,-1.301095,2.681118,-0.000000,-3.611673,-1.301095,2.000000,-0.000000,0.000,0.000,IDLE,11.026
5.472,-3.611673,-1.301095,2.685721,-0.000000,-3.611673,-1.301095,2.000000,-0.000000,0.000,0.000,IDLE,11.026
5.504,-3.611672,-1.301095,2.690229,-0.000000,-3.611672,-1.301095,2.000000,-0.000000,0.000,0.000,IDLE,11.026
5.536,-3.611672,-1.301094,2.694644,-0.000000,-3.611672,-1.301094,2.000000,-0.000000,0.000,0.000,IDLE,11.026
5.568,-3.611672,-1.301094,2.698966,-0.000000,-3.611672,-1.301094,2.000000,-0.000000,0.000,0.000,IDLE,11.026
5.600,-3.611671,-1.301094,2.703195,-0.000000,-3.611671,-1.301094,2.000000,-0.000000,0.000,0.000,IDLE,11.026
5.632,-3.611671,-1.301093,2.707331,-0.000000,-3.611671,-1.301093,2.000000,-0.000000,0.000,0.000,IDLE,11.026
5.664,-3.611670,-1.301093,2.711375,-0.000000,-3.611670,-1.301093,2.000000,-0.000000,0.000,0.000,IDLE,11.026
5.696,-3.611669,-1.301093,2.715326,-0.000000,-3.611669,-1.301093,2.000000,-0.000000,0.000,0.000,IDLE,11.026
5.728,-3.611669,-1.301092,2.719186,-0.000000,-3.611669,-1.301092,2.000000,-0.000000,0.000,0.000,IDLE,11.026
5.760,-3.611668,-1.301092,2.722953,-0.000000,-3.611668,-1.301092,2.000000,-0.000000,0.000,0.000,IDLE,11.026
5.792,-3.611668,-1.301091,2.726629,-0.000000,-3.611668,-1.301091,2.000000,-0.000000,0.000,0.000,IDLE,11.026
5.824,-3.611667,-1.301091,2.730213,-0.000000,-3.611667,-1.301091,2.000000,-0.000000,0.000,0.000,IDLE,11.026
5.856,-3.611666,-1.301090,2.733706,-0.000000,-3.611666,-1.301090,2.000000,-0.000000,0.000,0.000,IDLE,11.026
5.888,-3.611666,-1.301090,2.737108,-0.000000,-3.611666,-1.301090,2.000000,-0.000000,0.000,0.000,IDLE,11.026
5.920,-3.611665,-1.301089,2.740419,-0.000000,-3.611665,-1.301089,2.000000,-0.000000,0.000,0.000,IDLE,11.026
5.952,-3.611664,-1.301088,2.743640,-0.000000,-3.611664,-1.301088,2.000000,-0.000000,0.000,0.000,IDLE,11.026
5.984,-3.611664,-1.301088,2.746770,0.000000,-3.611664,-1.301088,2.000000,0.000000,0.000,0.000,IDLE,11.026
6.016,-3.611663,-1.301087,2.749809,0.000000,-3.611663,-1.301087,2.000000,0.000000,0.000,0.000,IDLE,11.026
6.048,-3.611662,-1.301087,2.752758,0.000000,-3.611662,-1.301087,2.000000,0.000000,0.000,0.000,IDLE,11.026
6.080,-3.611662,-1.301086,2.755617,0.000000,-3.611662,-1.301086,2.000000,0.000000,0.000,0.000,IDLE,11.026
6.112,-3.611661,-1.301086,2.758386,0.000000,-3.611661,-1.301086,2.000000,0.000000,0.000,0.000,IDLE,11.026
6.144,-3.611661,-1.301085,2.761066,0.000000,-3.611661,-1.301085,2.000000,0.000000,0.000,0.000,IDLE,11.026
6.176,-3.611660,-1.301085,2.763655,0.000000,-3.611660,-1.301085,2.000000,0.000000,0.000,0.000,IDLE,11.026
6.208,-3.611660,-1.301084,2.766156,0.000000,-3.611660,-1.301084,2.000000,0.000000,0.000,0.000,IDLE,11.026
6.240,-3.611659,-1.301084,2.768567,0.000000,-3.611659,-1.301084,2.000000,0.000000,0.000,0.000,IDLE,11.026
6.272,-3.611659,-1.301084,2.770888,0.000000,-3.611659,-1.301084,2.000000,0.000000,0.000,0.000,IDLE,11.026
