time,x,y,z,yaw_deg,cmd_yaw_deg,forward_speed,bearing_angle,bearing_valid,bearing_weight,grad_angle,grad_mag,grad_valid,grad_weight,map_size,total_light,dist_to_target
4.512,-3.611685,-1.301103,2.505639,-0.0000,-0.0000,0.000,54.8924,1,1.00,0.0000,0.0000,0,0.00,0,604.606,11.0265
4.544,-3.611685,-1.301102,2.513087,-0.0000,-0.0000,0.000,54.8925,1,1.00,0.0000,0.0000,0,0.00,0,604.473,11.0265
4.576,-3.611684,-1.301102,2.520431,0.0000,0.0000,0.000,54.8926,1,1.00,0.0000,0.0000,0,0.00,0,604.342,11.0265
4.608,-3.611683,-1.301101,2.527673,0.0000,0.0000,0.000,54.8926,1,1.00,0.0000,0.0000,0,0.00,0,604.211,11.0265
4.640,-3.611683,-1.301100,2.534813,0.0000,0.0000,0.000,54.8927,1,1.00,0.0000,0.0000,0,0.00,0,604.082,11.0265
4.672,-3.611682,-1.301100,2.541851,0.0000,0.0000,0.000,54.8928,1,1.00,0.0000,0.0000,0,0.00,0,603.954,11.0265
4.704,-3.611682,-1.301099,2.548787,0.0000,0.0000,0.000,54.8928,1,1.00,0.0000,0.0000,0,0.00,0,603.827,11.0265
4.736,-3.611681,-1.301099,2.555622,0.0000,0.0000,0.000,54.8929,1,1.00,0.0000,0.0000,0,0.00,0,603.701,11.0265
4.768,-3.611681,-1.301098,2.562357,0.0000,0.0000,0.000,54.8930,1,1.00,0.0000,0.0000,0,0.00,0,603.576,11.0265
4.800,-3.611680,-1.301098,2.568991,0.0000,0.0000,0.000,54.8931,1,1.00,0.0000,0.0000,0,0.00,0,603.453,11.0265
4.832,-3.611680,-1.301098,2.575525,0.0000,0.0000,0.000,54.8931,1,1.00,0.0000,0.0000,0,0.00,0,603.331,11.0265
4.864,-3.611679,-1.301097,2.581960,0.0000,0.0000,0.000,54.8932,1,1.00,0.0000,0.0000,0,0.00,0,603.210,11.0265
4.896,-3.611679,-1.301097,2.588295,0.0000,0.0000,0.000,54.8933,1,1.00,0.0000,0.0000,0,0.00,0,603.090,11.0265
4.928,-3.611678,-1.301097,2.594531,0.0000,0.0000,0.000,54.8933,1,1.00,0.0000,0.0000,0,0.00,0,602.971,11.0265
4.960,-3.611678,-1.301096,2.600669,0.0000,0.0000,0.000,54.8934,1,1.00,0.0000,0.0000,0,0.00,0,602.854,11.0265
4.992,-3.611678,-1.301096,2.606708,0.0000,0.0000,0.000,54.8934,1,1.00,0.0000,0.0000,0,0.00,0,602.738,11.0265
5.024,-3.611677,-1.301096,2.612650,0.0000,0.0000,0.000,54.8935,1,1.00,0.0000,0.0000,0,0.00,0,602.623,11.0265
5.056,-3.611677,-1.301096,2.618494,0.0000,0.0000,0.000,54.8936,1,1.00,0.0000,0.0000,0,0.00,0,602.510,11.0265
5.088,-3.611677,-1.301096,2.624240,0.0000,0.0000,0.000,54.8936,1,1.00,0.0000,0.0000,0,0.00,0,602.398,11.0265
5.120,-3.611676,-1.301096,2.629890,0.0000,0.0000,0.000,54.8937,1,1.00,0.0000,0.0000,0,0.00,0,602.288,11.0265
5.152,-3.611676,-1.301095,2.635443,0.0000,0.0000,0.000,54.8937,1,1.00,0.0000,0.0000,0,0.00,0,602.179,11.0265
5.184,-3.611676,-1.301095,2.640900,0.0000,0.0000,0.000,54.8938,1,1.00,0.0000,0.0000,0,0.00,0,602.071,11.0265
5.216,-3.611676,-1.301095,2.646260,0.0000,0.0000,0.000,54.8939,1,1.00,0.0000,0.0000,0,0.00,0,601.965,11.0265
5.248,-3.611675,-1.301095,2.651525,-0.0000,-0.0000,0.000,54.8939,1,1.00,0.0000,0.0000,0,0.00,0,601.861,11.0265
5.280,-3.611675,-1.301095,2.656694,-0.0000,-0.0000,0.000,54.8940,1,1.00,0.0000,0.0000,0,0.00,0,601.757,11.0265
5.312,-3.611675,-1.301095,2.661769,-0.0000,-0.0000,0.000,54.8940,1,1.00,0.0000,0.0000,0,0.00,0,601.656,11.0265
5.344,-3.611674,-1.301095,2.666748,-0.0000,-0.0000,0.000,54.8941,1,1.00,0.0000,0.0000,0,0.00,0,601.556,11.0265
5.376,-3.611674,-1.301095,2.671632,-0.0000,-0.0000,0.000,54.8941,1,1.00,0.0000,0.0000,0,0.00,0,601.457,11.0265
5.408,-3.611674,-1.301095,2.676422,-0.0000,-0.0000,0.000,54.8942,1,1.00,0.0000,0.0000,0,0.00,0,601.361,11.0265
5.440,-3.611673,-1.301095,2.681118,-0.0000,-0.0000,0.000,54.8942,1,1.00,0.0000,0.0000,0,0.00,0,601.265,11.0264
5.472,-3.611673,-1.301095,2.685721,-0.0000,-0.0000,0.000,54.8942,1,1.00,0.0000,0.0000,0,0.00,0,601.172,11.0264
5.504,-3.611672,-1.301095,2.690229,-0.0000,-0.0000,0.000,54.8943,1,1.00,0.0000,0.0000,0,0.00,0,601.080,11.0264
5.536,-3.611672,-1.301094,2.694644,-0.0000,-0.0000,0.000,54.8943,1,1.00,0.0000,0.0000,0,0.00,0,600.989,11.0264
5.568,-3.611672,-1.301094,2.698966,-0.0000,-0.0000,0.000,54.8944,1,1.00,0.0000,0.0000,0,0.00,0,600.901,11.0264
5.600,-3.611671,-1.301094,2.703195,-0.0000,-0.0000,0.000,54.8944,1,1.00,0.0000,0.0000,0,0.00,0,600.814,11.0264
5.632,-3.611671,-1.301093,2.707331,-0.0000,-0.0000,0.000,54.8945,1,1.00,0.0000,0.0000,0,0.00,0,600.729,11.0264
5.664,-3.611670,-1.301093,2.711375,-0.0000,-0.0000,0.000,54.8945,1,1.00,0.0000,0.0000,0,0.00,0,600.645,11.0264
5.696,-3.611669,-1.301093,2.715326,-0.0000,-0.0000,0.000,54.8946,1,1.00,0.0000,0.0000,0,0.00,0,600.563,11.0264
5.728,-3.611669,-1.301092,2.719186,-0.0000,-0.0000,0.000,54.8946,1,1.00,0.0000,0.0000,0,0.00,0,600.483,11.0264
5.760,-3.611668,-1.301092,2.722953,-0.0000,-0.0000,0.000,54.8946,1,1.00,0.0000,0.0000,0,0.00,0,600.405,11.0264
5.792,-3.611668,-1.301091,2.726629,-0.0000,-0.0000,0.000,54.8947,1,1.00,0.0000,0.0000,0,0.00,0,600.328,11.0264
5.824,-3.611667,-1.301091,2.730213,-0.0000,-0.0000,0.000,54.8947,1,1.00,0.0000,0.0000,0,0.00,0,600.254,11.0264
5.856,-3.611666,-1.301090,2.733706,-0.0000,-0.0000,0.000,54.8948,1,1.00,0.0000,0.0000,0,0.00,0,600.181,11.0264
5.888,-3.611666,-1.301090,2.737108,-0.0000,-0.0000,0.000,54.8948,1,1.00,0.0000,0.0000,0,0.00,0,600.109,11.0264
